,datenumber,datestr,Week,inflation,chime,varo,mobilebank
153,2021-12-18,2021-12-18,12/19/2021,28.0,7.428571428571429,1.1428571428571428,11.285714285714286
152,2021-12-17,2021-12-17,12/19/2021,28.0,7.428571428571429,1.1428571428571428,11.285714285714286
151,2021-12-16,2021-12-16,12/19/2021,28.0,7.428571428571429,1.1428571428571428,11.285714285714286
150,2021-12-15,2021-12-15,12/19/2021,28.0,7.428571428571429,1.1428571428571428,11.285714285714286
149,2021-12-14,2021-12-14,12/19/2021,28.0,7.428571428571429,1.1428571428571428,11.285714285714286
148,2021-12-13,2021-12-13,12/19/2021,28.0,7.428571428571429,1.1428571428571428,11.285714285714286
147,2021-12-12,2021-12-12,12/12/2021,41.0,7.857142857142857,1.2857142857142858,11.285714285714286
146,2021-12-11,2021-12-11,12/12/2021,41.0,7.857142857142857,1.2857142857142858,11.285714285714286
145,2021-12-10,2021-12-10,12/12/2021,41.0,7.857142857142857,1.2857142857142858,11.285714285714286
144,2021-12-09,2021-12-09,12/12/2021,41.0,7.857142857142857,1.2857142857142858,11.285714285714286
143,2021-12-08,2021-12-08,12/12/2021,41.0,7.857142857142857,1.2857142857142858,11.285714285714286
142,2021-12-07,2021-12-07,12/12/2021,41.0,7.857142857142857,1.2857142857142858,11.285714285714286
141,2021-12-06,2021-12-06,12/12/2021,41.0,7.857142857142857,1.2857142857142858,11.285714285714286
140,2021-12-05,2021-12-05,12/5/2021,42.0,14.285714285714286,1.1428571428571428,11.285714285714286
139,2021-12-04,2021-12-04,12/5/2021,42.0,14.285714285714286,1.1428571428571428,11.285714285714286
138,2021-12-03,2021-12-03,12/5/2021,42.0,14.285714285714286,1.1428571428571428,11.285714285714286
137,2021-12-02,2021-12-02,12/5/2021,42.0,14.285714285714286,1.1428571428571428,11.285714285714286
136,2021-12-01,2021-12-01,12/5/2021,42.0,14.285714285714286,1.1428571428571428,11.285714285714286
135,2021-11-30,2021-11-30,12/5/2021,42.0,14.285714285714286,1.1428571428571428,11.285714285714286
134,2021-11-29,2021-11-29,12/5/2021,42.0,14.285714285714286,1.1428571428571428,11.285714285714286
133,2021-11-28,2021-11-28,11/28/2021,31.0,7.285714285714286,1.1428571428571428,14.142857142857142
132,2021-11-27,2021-11-27,11/28/2021,31.0,7.285714285714286,1.1428571428571428,14.142857142857142
131,2021-11-26,2021-11-26,11/28/2021,31.0,7.285714285714286,1.1428571428571428,14.142857142857142
130,2021-11-25,2021-11-25,11/28/2021,31.0,7.285714285714286,1.1428571428571428,14.142857142857142
129,2021-11-24,2021-11-24,11/28/2021,31.0,7.285714285714286,1.1428571428571428,14.142857142857142
128,2021-11-23,2021-11-23,11/28/2021,31.0,7.285714285714286,1.1428571428571428,14.142857142857142
127,2021-11-22,2021-11-22,11/28/2021,31.0,7.285714285714286,1.1428571428571428,14.142857142857142
126,2021-11-21,2021-11-21,11/21/2021,30.0,6.428571428571429,1.2857142857142858,11.428571428571429
125,2021-11-20,2021-11-20,11/21/2021,30.0,6.428571428571429,1.2857142857142858,11.428571428571429
124,2021-11-19,2021-11-19,11/21/2021,30.0,6.428571428571429,1.2857142857142858,11.428571428571429
